question_id,method,evidence_id,rank,score,valid_time_match
evidence_lookup-01,bm25,aib-2022,1,0.9166666666666666,True
evidence_lookup-01,dense,aib-2022,1,0.7794117647058824,True
evidence_lookup-01,static_kg,aib-2022,1,9.75,True
evidence_lookup-01,static_kg,aib-2023,2,8.5,False
evidence_lookup-01,static_kg,aib-2024,3,8.5,False
evidence_lookup-02,bm25,aib-2023,1,0.9166666666666666,True
evidence_lookup-02,bm25,aib-2022,2,0.5925925925925926,True
evidence_lookup-02,dense,aib-2023,1,0.7794117647058824,True
evidence_lookup-02,dense,aib-2022,2,0.4444444444444444,True
evidence_lookup-02,static_kg,aib-2023,1,9.75,True
evidence_lookup-02,static_kg,aib-2022,2,8.5,True
evidence_lookup-02,static_kg,aib-2024,3,8.5,False
evidence_lookup-02,temporal_kg,aib-2022,1,8.5,True
evidence_lookup-02,temporal_kg_rerank,aib-2022,1,8.5,True
evidence_lookup-02,temporal_kg_verify,aib-2022,1,8.5,True
evidence_lookup-03,bm25,aib-2024,1,0.9166666666666666,True
evidence_lookup-03,bm25,aib-2022,2,0.5925925925925926,True
evidence_lookup-03,bm25,aib-2023,3,0.5925925925925926,True
evidence_lookup-03,dense,aib-2024,1,0.7794117647058824,True
evidence_lookup-03,dense,aib-2022,2,0.4444444444444444,True
evidence_lookup-03,dense,aib-2023,3,0.4444444444444444,True
evidence_lookup-03,static_kg,aib-2024,1,9.75,True
evidence_lookup-03,static_kg,aib-2022,2,8.5,True
evidence_lookup-03,static_kg,aib-2023,3,8.5,True
evidence_lookup-03,temporal_kg,aib-2022,1,8.5,True
evidence_lookup-03,temporal_kg,aib-2023,2,8.5,True
evidence_lookup-03,temporal_kg_rerank,aib-2022,1,8.5,True
evidence_lookup-03,temporal_kg_rerank,aib-2023,2,8.5,True
evidence_lookup-03,temporal_kg_verify,aib-2022,1,8.5,True
evidence_lookup-03,temporal_kg_verify,aib-2023,2,8.5,True
evidence_lookup-04,bm25,esb-2022,1,1.13,True
evidence_lookup-04,dense,esb-2022,1,0.9375,True
evidence_lookup-04,static_kg,esb-2022,1,11.75,True
evidence_lookup-04,static_kg,esb-2023,2,10.5,False
evidence_lookup-04,static_kg,esb-2024,3,10.5,False
evidence_lookup-05,bm25,esb-2023,1,1.13,True
evidence_lookup-05,bm25,esb-2022,2,0.8,True
evidence_lookup-05,dense,esb-2023,1,0.9375,True
evidence_lookup-05,dense,esb-2022,2,0.5882352941176471,True
evidence_lookup-05,static_kg,esb-2023,1,11.75,True
evidence_lookup-05,static_kg,esb-2022,2,10.5,True
evidence_lookup-05,static_kg,esb-2024,3,10.5,False
